wind_dir_degt,wind_speed_mps,gust_speed_mps,significant_wave_height_m,dominant_wave_period_sec,avg_wave_period_sec,wave_dir_degt,sea_level_pressure_hpa,air_temp_degc,sea_surface_temp_degc,dewpoint_temp_degc,station_visibility_nmi,pressure_tendency_hpa,water_level_ft,station_id,lat,lon,station_elev,station_name,station_owner,station_pgm,station_type,station_met,station_currents,station_waterquality,station_dart,timestamp
360,2,4,,,6.7,76,1018.4,,25.4,27.3,17.9,,,"41010",28.878,-78.467,0,"CANAVERAL EAST - 120NM East of Cape Canaveral","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
40,7,8,,,,,1019.9,,21.9,25.3,11.8,,,"41013",33.441,-77.764,0,"Frying Pan Shoals, NC","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
70,6,9,,,,,1019.6,,18.8,20.9,13.7,,,"41024",33.837,-78.477,0,"Sunset Nearshore, NC (SUN2)","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
10,6,8,,,,,1019.2,,,22.1,,,,"41025",35.01,-75.454,0,"Diamond Shoals, NC","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
30,4,6,,,,,1018.9,,20.4,21.3,18,,,"41029",32.803,-79.624,0,"Capers Nearshore, SC (CAP2)","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
300,1,3,,,,,1018.9,,21.6,21.5,20.1,,,"41033",32.279,-80.406,0,"Fripp Nearshore, SC (FRP2)","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
40,6,9,,,,,1020.3,,,24,,,,"41037",33.988,-77.362,0,"Wrightsville Beach Offshore, NC (ILM3)","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
50,5,7,,,,,1020,,20,21.4,10.4,,,"41038",34.141,-77.715,0,"Wrightsville Beach Nearshore, NC (ILM2)","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
80,8,10,,,,,1011.8,,29,29.5,26,,,"41040",14.536,-53.136,0,"NORTH EQUATORIAL ONE- 470 NM East of Martinique","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
110,2,3,1.3,8,6.7,84,1014.3,,28.7,,26.3,,,"41043",21.026,-64.793,0,"NE PUERTO RICO - 170 NM NNE of San Juan, PR","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729844400000000000
200,6,8,,,,,1014.6,,27.7,29.5,24.6,,,"41044",21.582,-58.63,0,"NE ST MARTIN - 330 NM NE St Martin Is","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
310,4,6,,,,,1014,,26.9,28.3,21.7,,,"41049",27.505,-62.271,0,"SOUTH BERMUDA - 300 NM SSE of Bermuda","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
80,6,8,0.7,,,111,1011.9,-1.4,30,30.5,,,,"41052",18.249,-64.763,0,"South of St. John, VI","Caribbean Integrated Coastal Ocean Observing System (CarICoos)","IOOS Partners","buoy","y","y","y","n",1729839600000000000
120,3,4,0.7,7,,50,1012.6,-1.3,29.1,30.5,,,,"41053",18.474,-66.099,0,"San Juan, PR","Caribbean Integrated Coastal Ocean Observing System (CarICoos)","IOOS Partners","buoy","y","y","y","n",1729839600000000000
70,5,6,0.6,15,,43,1012,-1.5,29.4,30.3,,,,"41056",18.261,-65.464,0,"Vieques Island, PR","Caribbean Integrated Coastal Ocean Observing System (CarICoos)","IOOS Partners","buoy","y","y","y","n",1729839600000000000
,,,0.5,9,6.2,122,,,,21,,,,"41065",32.802,-79.619,0,"Capers Nearshore Waves (CAP2WAVE)","CORMP","IOOS Partners","buoy","y","n","n","n",1729840200000000000
80,3,5,,,,,1018.9,,21.9,22.5,20.3,,,"41066",32.536,-79.656,0,"CHR60","CORMP","IOOS Partners","buoy","y","n","y","n",1729840080000000000
,,,0.5,9,6.4,117,,,,21.2,,,,"41067",32.276,-80.406,0,"FRP2WAVE","CORMP","IOOS Partners","buoy","y","n","n","n",1729841400000000000
,,,1.1,9,7.5,59,,,,24,,,,"41070",29.289,-80.803,0,"Ponce de Leon Inlet Waves (PNCWAVE)","CORMP","IOOS Partners","buoy","y","n","n","n",1729840200000000000
,,,0.8,9,7.5,111,,,,,,,,"41076",32.536,-79.659,0,"CHR60WAVE","CORMP","IOOS Partners","buoy","y","n","n","n",1729841100000000000
360,8,,,,,,1010.6,0.7,18.3,19.4,,,,"41082",35.95,-75.125,0,"OOI Pioneer - Mid-Atlantic Bight Central Surface Mooring","NSF Ocean Observatories Initiative","IOOS Partners","buoy","y","n","y","n",1729836000000000000
10,7,,,,,,1018.6,0.7,20.1,19.7,,,,"41083",35.725,-74.853,0,"OOI Mid-Atlantic Bright Southern Surface Mooring","NSF Ocean Observatories Initiative","IOOS Partners","buoy","y","n","y","n",1729836000000000000
,,,0.8,9,3.8,115,,,20.5,20.8,,,,"41108",33.721,-78.016,0,"Wilmington Harbor, NC - (200)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,1,11,5.1,117,,,,21.5,,,,"41110",34.142,-77.715,0,"Masonboro Inlet, ILM2, NC (150)","CORMP","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,0.7,9,7,94,,,,21.4,,,,"41112",30.709,-81.292,0,"Offshore Fernandina Beach, FL (132)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,0.7,10,,,,,,24.7,,,,"41113",28.4,-80.533,0,"Cape Canaveral Nearshore, FL (143)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,0.9,10,,,,,,25.8,,,,"41114",27.552,-80.216,0,"Fort Pierce, FL (134)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,0.5,9,6.7,10,,,,30.7,,,,"41115",18.376,-67.28,0,"Rincon, Puerto Rico (181)","Caribbean Integrated Coastal Ocean Observing System (CarICoos)","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,0.8,9,7.2,76,,,,23.9,,,,"41117",29.999,-81.079,0,"St. Augustine, FL (194)","U.S. Army Corps of Engineers","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.7,12,5.8,86,,,,20.5,,,,"41120",35.258,-75.285,0,"Cape Hatteras East, NC (250)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,0.6,4,3.4,87,,,,26.8,,,,"41122",26.001,-80.096,0,"Hollywood Beach, FL (265)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,,,,,1015.4,,,27.6,,,,"41139",20,-38,0,"","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
,,,1.2,10,,,,,,23.8,,,,"41159",34.213,-76.949,0,"Onslow Bay Outer, NC (217)","CORMP","IOOS Partners","buoy","y","n","n","n",1729842960000000000
70,6,8,,,,,1015.2,,26.8,27.1,23.8,,,"42001",25.926,-89.662,0,"MID GULF - 180 nm South of Southwest Pass, LA","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
,0,1,,,,,1019,,24,24.9,21.9,,,"42012",30.06,-87.548,0,"ORANGE BEACH - 44 NM SE of Mobile, AL","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
100,5,6,,,,,1018.7,,,25.2,,,,"42013",27.173,-82.924,0,"C10 - WFS Central Buoy, 25m Isobath","COMPS (University of South Florida)","IOOS Partners","buoy","y","y","y","n",1729838100000000000
160,6,7,,,,,1016.8,,,27.4,,,,"42019",27.908,-95.343,0,"FREEPORT, TX - 60 NM South of Freeport, TX","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
160,6,7,,,,,1015.9,,26.6,27.3,22.7,,,"42020",26.97,-96.679,0,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
80,6,8,,,,,1018.6,,27.9,27,23.4,,,"42022",27.505,-83.741,0,"C12 - WFS Central Buoy, 50m Isobath","COMPS (University of South Florida)","IOOS Partners","buoy","y","y","y","n",1729838100000000000
60,5,7,,,,,1016.5,,26.5,28.4,20.2,,,"42026",25.171,-83.475,0,"C22 - Loop Current Pressure Point Buoy, 70m Isobath","COMPS (University of South Florida)","IOOS Partners","buoy","y","y","y","n",1729838100000000000
160,5,6,,,,,1016.6,,25.3,24.8,20.5,,,"42035",29.235,-94.41,0,"GALVESTON,TX -  22 NM East of Galveston, TX","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
60,3,4,0.2,,3.3,,1018.5,,25.8,,19.5,,,"42036",28.501,-84.508,0,"WEST TAMPA  - 112 NM WNW of Tampa, FL","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729844400000000000
90,1,2,,,,,1019,,25.2,,17.7,,,"42040",29.207,-88.237,0,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
110,4,5,,,,,1015.8,,27.1,28.6,22.2,,,"42055",22.14,-94.112,0,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
80,8,10,,,,,1012.5,,28.8,29.8,24.4,,,"42056",19.82,-84.98,0,"Yucatan Basin - 120 NM ESE of Cozumel, MX","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
,,,,,,,1009.9,,,30.1,,,,"42057",16.973,-81.575,0,"Western Caribbean - 195 NM WSW of Negril, Jamaica","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
80,10,12,,,,,1009,,30.3,30.4,26.5,,,"42058",14.512,-75.153,0,"Central Caribbean - 210 NM SSE of Kingston, Jamaica","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
90,9,10,,,,,1012,,29.9,30.1,26.9,,,"42060",16.434,-63.329,0,"Caribbean Valley - 63 NM WSW of Montserrat","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
,,,0.4,6,5,151,,,,24.3,,,,"42084",28.988,-89.649,0,"Southwest Pass Entrance W, LA (256)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
30,4,5,0.9,7,,142,1012,-1.5,28.7,30.6,,,,"42085",17.87,-66.537,0,"Southeast of Ponce, PR","Caribbean Integrated Coastal Ocean Observing System (CarICoos)","IOOS Partners","buoy","y","y","y","n",1729839600000000000
,,,0.6,4,3.5,155,,,,24.6,,,,"42091",29.088,-92.505,0,"Trinity Shoal, LA (255)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729844760000000000
,,,0.8,3,3.4,162,,,,26.2,,,,"42092",27.64,-97.012,0,"Aransas Pass Channel Entrance S, TX (252)","Conrad Blucher Institute (CBI) for Surveying and Science, Texas A&amp;M University-Corpus Christi","IOOS Partners","buoy","y","n","n","n",1729843200000000000
,,,1,4,3.9,102,,,27,28.9,,,,"42095",24.409,-81.968,0,"Satan Shoal, FL (244)","U.S. Army Corps of Engineers","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,0.3,3,2.4,332,,,,24.1,,,,"42098",27.59,-82.931,0,"Egmont Channel Entrance, FL (214)","Greater Tampa Bay Marine Advisory Council-PORTS","IOOS Partners","buoy","y","n","n","n",1729844760000000000
360,10,13,,,3.6,13,1017.2,,9.8,12,4,,,"44007",43.525,-70.14,0,"PORTLAND - 12 NM Southeast of Portland,ME","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
360,6,7,,,,,1018.8,,15.2,18.3,10,,,"44009",38.46,-74.692,0,"DELAWARE BAY 26 NM Southeast of Cape May, NJ","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
330,12,16,,,,,1009.9,,14,13.2,12.5,,,"44011",41.093,-66.562,0,"GEORGES BANK 170 NM East of Hyannis, MA","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
330,8,10,,,,,1017.7,,10.3,13.6,5.6,,,"44013",42.346,-70.651,0,"BOSTON 16 NM East of Boston, MA","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
350,6,9,,,,,1019.2,,17.8,18.7,12,,,"44014",36.603,-74.837,0,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
10,9,11,,,,,1015.2,,12.9,15.5,9.4,,,"44020",41.497,-70.283,0,"NANTUCKET SOUND","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
340,9,11,,,5.7,120,1018.5,,12.7,,7.9,,,"44025",40.258,-73.175,0,"LONG ISLAND - 30 NM South of Islip, NY","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
360,11,14,,,,,1012.7,,,11.7,,,,"44027",44.284,-67.301,0,"Jonesport, ME - 20 NM SE of Jonesport, ME","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
10,9,11,1.7,5,,,1016,,11.5,,,1.6,,"44029",42.523,-70.566,0,"Buoy A01 - Massachusetts Bay","Northeastern Regional Association of Coastal Ocean Observing Systems","IOOS Partners","buoy","y","y","n","n",1729839840000000000
350,9,11,1,5,,,1016.5,,10.2,13,,,,"44030",43.179,-70.426,0,"Buoy B01 - Western Maine Shelf","Northeastern Regional Association of Coastal Ocean Observing Systems","IOOS Partners","buoy","y","y","y","n",1729839840000000000
360,11,14,0.9,4,,,1015.8,,9.8,,,1.6,,"44032",43.715,-69.355,0,"Buoy E01 - Central Maine Shelf","Northeastern Regional Association of Coastal Ocean Observing Systems","IOOS Partners","buoy","y","n","n","n",1729839840000000000
10,10,12,0.8,4,,,1014.1,,10.5,12.5,,1.6,,"44033",44.055,-68.996,0,"Buoy F01 - Penobscot Bay","Northeastern Regional Association of Coastal Ocean Observing Systems","IOOS Partners","buoy","y","y","y","n",1729836240000000000
10,11,14,1.2,4,,,1013.7,,10.8,,,1.6,,"44034",44.103,-68.112,0,"Buoy I01 - Eastern Maine Shelf","Northeastern Regional Association of Coastal Ocean Observing Systems","IOOS Partners","buoy","y","y","n","n",1729839840000000000
360,2,4,,,,,,,10.1,17.9,,,,"44041",37.211,-76.787,0,"Jamestown, VA","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","n","y","n",1729843920000000000
360,6,7,0.3,3,,,,,12.3,17.6,,,,"44043",39.152,-76.391,0,"Patapsco, MD","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","y","y","n",1729843920000000000
,,,1.4,11,5.1,96,,,,19.3,,,,"44056",36.2,-75.714,0,"Duck FRF, NC","U.S. Army Corps of Engineers","IOOS Partners","buoy","y","n","n","n",1729841160000000000
340,6,9,0.3,2,,,,,13.8,18.1,,,,"44058",37.567,-76.257,0,"Stingray Point, VA","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","y","y","n",1729843920000000000
350,5,7,0.4,3,,,,,12.5,18.3,,,,"44062",38.556,-76.415,0,"Gooses Reef, MD","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","y","y","n",1729843920000000000
360,5,8,0.5,4,,,,,15.3,,,,,"44064",36.998,-76.087,0,"First Landing, VA","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","n","n","n",1729843920000000000
350,8,9,,,,,,,13.6,18.2,,,,"44072",37.201,-76.266,0,"York Spit, VA","Chesapeake Bay Interpretive Buoy System (CBIBS)","IOOS Partners","buoy","y","n","y","n",1729843920000000000
350,8,10,,,,,,,11.7,12.7,,,,"44073",43.02,-70.54,0,"CO2 Gulf of Maine Buoy","University of New Hampshire","IOOS Partners","buoy","y","n","y","n",1729842300000000000
280,14,,,,,,997.7,,5.6,7.3,,,,"44078",59.94,-39.52,0,"OOI Irminger Sea Surface Mooring","NSF Ocean Observatories Initiative","IOOS Partners","buoy","y","n","y","n",1729835400000000000
10,6,,,,,,1018.6,0.6,18,18.7,,,,"44079",36.175,-74.827,0,"OOI Mid-Atlantic Bright Northern Surface Mooring","NSF Ocean Observatories Initiative","IOOS Partners","buoy","y","n","y","n",1729836000000000000
,,,0.9,12,5.1,92,,,,17.9,,,,"44084",38.537,-75.044,0,"Bethany Beach, DE (263)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1,12,5.7,145,,,11.7,16.2,,,,"44085",41.387,-71.032,0,"Buzzards Bay, MA (260)","Woods Hole Group/NERACOOS","IOOS Partners","buoy","y","n","n","n",1729843200000000000
,,,1.5,11,5.3,100,,,,19.7,,,,"44086",36.001,-75.421,0,"Nags Head, NC (243)","UNC Coastal Studies Institute","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,0.6,11,,,,,,18.4,,,,"44087",37.026,-76.149,0,"Thimble Shoal, VA (240)","U.S. Navy","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.8,12,6.1,99,,,17.5,18.8,,,,"44088",36.612,-74.839,0,"Virginia Beach Offshore, VA (171)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,1.1,11,,,,,,18.7,,,,"44089",37.754,-75.325,0,"Wallops Island, VA (224)","U.S. Army Corps of Engineers","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.4,6,4.2,3,,,12.3,14.7,,,,"44090",41.84,-70.329,0,"Cape Cod Bay, MA (221)","Woods Hole Group/NERACOOS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
,,,1.7,11,5.9,118,,,,17.5,,,,"44091",39.768,-73.77,0,"Barnegat, NJ (209)","U.S. Army Corps of Engineers","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.6,11,,,,,,19.6,,,,"44095",35.75,-75.33,0,"Oregon Inlet, NC (192)","UNC Coastal Studies Institute","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.9,12,6.5,131,,,,16.7,,,,"44097",40.967,-71.124,0,"Block Island, RI  (154)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.9,6,5.3,24,,,,12.7,,,,"44098",42.8,-70.171,0,"Jeffreys Ledge, NH (160)","University of New Hampshire","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.4,11,5.2,116,,,,19.2,,,,"44099",36.915,-75.722,0,"Cape Henry, VA (147)","SCRIPPS","IOOS Partners","buoy","y","n","n","n",1729842960000000000
,,,1.3,10,4.9,104,,,17.8,19.4,,,,"44100",36.258,-75.593,0,"Duck FRF 26m, NC (430)","SCRIPPS","IOOS Partners","buoy","y","y","n","n",1729843200000000000
10,18,23,5,9,,,991.4,-0.1,15.7,17.2,,,,"44137",42.26,-62.03,0,"East Scotia Slope","Environment and Climate Change Canada","International Partners","buoy","y","n","n","n",1729843200000000000
130,12,15,4.6,11,,,997.2,,18.5,16.4,,,,"44139",44.24,-57.1,0,"Banqureau Banks","Environment and Climate Change Canada","International Partners","buoy","y","n","n","n",1729843200000000000
350,14,17,1.6,7,,,1003.8,-1.4,10.2,13.8,,,,"44258",44.5,-63.4,0,"Halifax Harbour","Environment and Climate Change Canada","International Partners","buoy","y","n","n","n",1729843200000000000
40,14,17,1.1,5,,,1000.1,-3.1,13.5,11.3,,,,"44488",45.44,-60.95,0,"East of Chedabucto Bay","Environment and Climate Change Canada","International Partners","buoy","y","n","n","n",1729843200000000000
40,10,12,0.5,4,,,1001.1,-2.5,13.6,11.4,,,,"44489",45.49,-61.14,0,"West Chedabucto Bay","Environment and Climate Change Canada","International Partners","buoy","y","n","n","n",1729843200000000000
260,9,12,,,4.4,234,1012.1,,9.6,10.7,7.9,,,"45001",48.061,-87.793,183,"MID SUPERIOR- 60 NM North Northeast Hancock, MI","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
260,3,4,,,4.1,190,1014.7,,11.5,13.1,6.8,,,"45002",45.344,-86.411,176,"NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
220,4,6,,,,,1018.6,,11.5,11.3,8.3,,,"45003",45.351,-82.84,177,"NORTH HURON - 32NM Northeast of Alpena, MI","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
250,2,2,,,3.8,173,1013.5,,9.8,10.3,9.3,,,"45004",47.585,-86.585,183,"EAST SUPERIOR -70 NM NE Marquette, MI","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
160,7,9,,,,,1019.8,,11.6,15.8,7.5,,,"45005",41.677,-82.398,174,"WEST ERIE - 16 NM NW of Lorain, OH","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
250,7,8,,,,,1012.8,,9.5,9.7,8,,,"45006",47.335,-89.793,183,"WEST SUPERIOR - 30NM NE of Outer Island, WI","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
,,,1.1,5,4,190,,,,,,,,"45007",42.674,-87.026,176,"SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
210,8,11,,,,,1020.2,,12.3,,,,,"45008",44.283,-82.416,177,"SOUTH HURON - 43NM East of Oscoda, MI","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
20,3,4,,,,,1021.7,,10.4,14,2.5,,,"45012",43.621,-77.401,74.7,"EAST Lake Ontario  - 20NM North Northeast of Rochester, NY","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
180,4,5,0.4,4,,227,1015.9,,11.3,13.6,6.8,,,"45022",45.404,-85.088,176,"Little Traverse Bay Buoy, MI","University of Michigan CILER","IOOS Partners","buoy","y","n","y","n",1729844400000000000
180,7,8,1,5,,217,1015.9,,12.9,15.5,10.3,,,"45024",43.977,-86.56,176,"Ludington Buoy, MI","University of Michigan CILER","IOOS Partners","buoy","y","n","y","n",1729844400000000000
170,5,7,0.1,,,224,1018.2,,11,16.9,7.3,,,"45026",41.982,-86.619,176,"Cook Nuclear Plant Buoy, Stevensville, MI","Limno Tech","IOOS Partners","buoy","y","y","y","n",1729843800000000000
